查询条件,""数据口径: 15天/点击/不含赠品/下单订单; 产品线: 互动广告", 搜索快车", 智能投放", 推荐广告", 站外广告; 时间: 2025-04-13至2025-04-18; 行业选择: 药食同源""
关键词,搜索指数,竞争力
鸡内金京东自营旗舰店,3167,234.10
复方甘草片处方药,1349,1274.59
川贝母粉,1164,1996.25
锁阳中药材,1519,2269.22
姜片,1534,52020.99
天麻野生,1443,2121.49
四逆散中成药,1100,312.21
红枣,12591,386634.59
天麻杜仲叶平卧菊三七通络片,6201,678.44
念慈庵蜜炼川贝枇杷膏,1171,769.14
赤小豆,2881,40681.10
松花粉,3089,4979.38
朱砂安神丸,3904,1399.51
茯苓京东自营官方旗舰店,7082,474.21
桃金娘,1397,1241.20
茯苓中药材,2281,1392.15
红皮花生衣,1182,962.34
秦艽,7786,3387.90
黄精京东自营官方旗舰店,8760,532.79
复方三维亚油酸胶丸1,2720,102.42
当归京东自营旗舰店,3385,374.20
姜黄,1062,11249.52
医药店药品京东大药房,1610,7812.69
干姜片,1159,5150.93
桃胶,1739,21056.38
芝麻丸,3900,65726.75
杂粮,2045,538020.34
桂圆,3605,113777.94
流食,1084,11068.43
桂枝汤,3452,7647.55
藏红花,1076,20297.39
南杏仁,1994,4372.99
淮山药,1965,4146.77
番石榴,1201,8739.11
金银花颗粒,3222,4665.31
苦参,1289,5599.29
桔梗,2039,25214.29
芝麻糊京东自营官方旗舰店,1158,427.76
保和丸,1515,975.71
七白饮,3369,2185.10
豆奶粉,1200,25868.08
月子粥,1343,6650.15
半夏厚补汤,1252,2825.56
百合干京东自营官方旗舰店,3480,467.16
四君子合剂京东自营旗舰店,4535,108.21
山楂鸡内金,3304,16356.08
金蝉止痒颗粒,1681,673.14
茯苓粉,1747,4327.90
桑黄,1126,2192.49
甘草金桔京东自营旗舰店,5593,925.47
板蓝根,1934,5133.57
车前草京东自营官方旗舰店,1948,108.67
川贝母,4470,4198.66
润喉糖,2753,75794.70
苹果醋,1976,59158.33
浮小麦,1249,1629.03
鸡内金,8754,38659.13
面条,13530,327684.06
薏仁,1664,18063.27
麦芽,1183,12780.14
人参肽饮口服液子凡药业,2119,964.91
白扁豆,2460,6878.40
白芝麻,1293,29128.23
糖果,1257,711195.85
天王补心丹,5273,2253.79
冰糖,1166,293908.74
月子餐,1872,23908.13
