查询条件,""数据口径: 15天/点击/不含赠品/下单订单; 产品线: 互动广告", 搜索快车", 智能投放", 推荐广告", 站外广告; 时间: 2025-04-13至2025-04-18; 行业选择: 药食同源""
关键词,搜索指数,竞争力
黑豆,5927,152685.00
京东买药,5806,96439.97
西洋参枸杞丸,5743,514.15
参苓白术丸,5681,6695.36
归脾丸,5604,6894.91
甘草金桔京东自营旗舰店,5593,925.47
益智仁,5592,2363.29
白术,5538,9455.47
麦片京东自营全麦燕麦片,5518,969.12
生脉散,5433,772.34
杏仁七白饮,5414,3506.30
龟鹿二仙胶,5343,8797.84
二陈丸,5317,1923.89
胶囊空壳,5315,11601.20
天王补心丹,5273,2253.79
乌梅人丹,5248,1100.66
四物汤,5247,7477.51
山楂片,5235,272182.02
藕粉,5217,127413.03
桂附理中丸,5173,2552.80
四君子丸,5139,4868.73
山药片,5132,35745.93
薏米,5112,75342.32
八珍糕京东自营官方旗舰店,5077,876.85
杏仁京东自营官方旗舰店,5044,646.30
八珍粉,5026,4714.82
月子水,5000,1858.12
柿子叶降血压京东自营官方旗舰店,4991,366.06
桂圆干,4977,98738.49
麦冬京东自营官方旗舰店,4881,600.67
丹鹿通督片,4843,391.39
养血当归颗粒,4813,2535.21
泡酒药材,4809,23597.72
枇杷干,4804,26118.89
木瓜,4791,15697.30
白芍,4749,3514.29
白芷,4742,13001.57
金银花露,4728,11926.72
力补金秋胶囊官方旗舰店,4726,359.77
肉苁蓉京东自营官方旗舰店,4726,337.43
医药馆入口,4700,8597.25
灵芝山茱萸天麻杜仲叶片,4677,644.63
五苓散,4672,14978.85
复方苁蓉胶囊正品北京同仁堂,4650,208.26
麦片,4610,94691.07
早餐食品,4605,736031.31
四神汤,4602,7426.02
秦艽泡水治什么,4600,1446.89
桑椹,4593,29339.23
保济丸,4573,2445.09
紫苏,4572,15568.22
淫羊藿肉苁蓉锁阳,4560,762.92
通草,4551,4314.27
四君子合剂京东自营旗舰店,4535,108.21
防风通圣丸,4494,6929.82
川贝母,4470,4198.66
牛大力京东自营旗舰店,4458,59.42
韭菜籽,4448,4187.45
挂面,4437,138146.39
金桔,4433,29826.99
补肾固齿丸,4419,480.56
面,4379,283171.25
越鞠丸,4373,5968.19
附子理中丸,4373,11455.54
红景天,4372,2601.89
黄瓜籽粉,4356,30532.99
姜黄粉,4344,17592.16
益安宁丸京东大药房官方旗舰店,4335,293.28
山药京东自营官方旗舰店,4330,270.06
芝麻糊,4328,53043.36
养阴清肺丸,4294,932.85
甘草片京东自营官方旗舰店,4262,187.19
金银花柚子汁,4245,22555.74
芡实京东自营官方旗舰店,4197,443.72
桦树茸,4182,3499.26
巴戟天,4177,4193.49
五黑粉,4126,3623.04
枸杞,4108,152918.49
四君子汤,4105,13167.18
参苓白术散,4050,3697.52
龟鹿二仙丸,3987,2142.60
大活络丸北京同仁堂,3979,716.40
减肥险,3971,764.87
莲子京东自营官方旗舰店,3914,428.97
朱砂安神丸,3904,1399.51
芝麻丸,3900,65726.75
西梅,3880,110353.31
零食,3833,10777127.23
沙棘原浆100%京东自营官方旗舰店,3795,432.72
肉桂粉,3794,14284.99
苏合香丸,3794,1028.11
塔塔糖,3773,3379.79
补中益气丸,3767,5917.57
沙棘原浆,3765,29479.02
大枣,3764,199593.86
熟地黄,3747,2632.00
祛湿,3740,75033.07
石斛砂仁麦冬片,3718,1098.94
桑葚干京东自营官方旗舰店,3706,191.31
刺梨,3680,62211.20
秦艽京东自营旗舰店,3664,197.20
橄榄,3653,85094.37
麝香,3650,16713.52
杜仲,3641,7180.52
无糖食品糖尿病人京东自营,3630,4710.07
亚麻籽粉,3622,14452.67
桂圆,3605,113777.94
六君子丸,3600,3111.67
猫爪草,3569,7744.19
芍药,3568,10069.77
金银花,3553,52991.95
菟丝子京东自营旗舰店,3533,136.18
葛根粉,3523,91696.21
面条京东自营旗舰店,3516,413.97
锁阳,3512,10848.20
五行健脾散,3484,1755.84
人参养荣丸,3484,2998.68
百合干京东自营官方旗舰店,3480,467.16
脾肾两助丸,3472,5261.23
粳米,3457,14685.24
桂枝汤,3452,7647.55
中药材抓配,3411,30679.49
益安宁丸,3398,719.09
黄芽汤同仁堂,3390,331.36
当归京东自营旗舰店,3385,374.20
七白饮,3369,2185.10
川贝粉,3353,3509.12
淫羊藿京东自营官方旗舰店,3344,308.54
沙苑子京东自营旗舰店,3326,152.53
鸡内金粉,3319,4153.91
山楂鸡内金,3304,16356.08
茵陈,3301,3056.60
饼干,3291,1108178.98
柴胡疏肝散,3274,4094.64
牛大力,3268,2318.04
桦树茸京东自营旗舰店,3266,244.68
葛根,3259,51763.72
京东自营药房,3257,625.18
黑芝麻黑豆黑米黑枸杞桑葚,3253,1302.15
益智仁甘草,3232,764.19
加味逍遥丸,3227,1681.34
理中丸,3226,3268.86
金银花颗粒,3222,4665.31
党参丁香茯苓片,3183,1019.30
玉竹,3183,16301.45
山楂茯苓颗粒京东自营,3175,220.23
同仁堂补天灵片,3171,517.23
鸡内金京东自营旗舰店,3167,234.10
麻仁润肠丸,3165,1424.00
桂附地黄丸,3156,2142.60
秦艽中药材京东自营,3152,212.24
舒肝益脾颗粒,3151,791.62
健脾八珍糕,3130,1219.37
复方首乌地黄丸,3123,1198.18
亚麻籽,3097,40575.44
松花粉,3089,4979.38
固肾丸,3069,526.51
养血荣筋丸,3039,558.06
红枣京东自营官方旗舰店,3027,1095.33
双黄当归栀子片,3015,537.88
半夏天麻丸,3006,801.68
红曲米,2985,24807.44
买药,2966,57680.97
百合固金丸,2962,3395.09
玉屏风颗粒,2944,1780.22
刺五加茶,2941,997.26
茯苓糕,2931,10160.62
豆浆粉,2924,63365.96
木香顺气丸,2923,1466.90
莲须,2919,1099.03
养胃食品,2884,101099.59
丹参,2883,21706.22
赤小豆,2881,40681.10
炙甘草,2874,2796.64
四神丸,2865,692.44
豆浆,2857,134649.16
德国小钢炮,2833,3241.68
益智仁30克甘草6克,2828,535.69
五黑桑葚黑枸杞黑芝麻京东自营,2826,334.16
川芎,2822,2948.30
黄芽汤代茶饮京东官方正品,2812,447.12
甘草片复方,2808,2247.85
奇亚籽,2791,80442.47
麦芽糖京东自营旗舰店,2787,223.07
安神温胆丸,2773,704.82
刺梨汁原浆100%京东自营官方旗舰店,2771,69.52
黄精茶,2770,4986.53
松花粉京东自营旗舰店,2767,167.96
nfc京东自营旗舰店,2763,303.59
有机食品,2760,49592.53
活络效灵丹,2758,3345.69
润喉糖,2753,75794.70
白术薏仁胶囊,2752,927.87
黑芝麻京东自营官方旗舰店,2722,568.27
复方三维亚油酸胶丸1,2720,102.42
香砂养胃丸,2715,1988.37
桑葚汁,2707,5886.32
顶天柱,2706,735.72
九制黄精,2694,845.91
酸枣仁粉京东自营官方旗舰店,2681,278.83
安神定志丸,2680,6763.80
舒筋活络丸,2678,860.47
山楂条,2665,148512.50
当归补血丸,2660,1922.34
炒酸枣仁,2654,2045.27
煲汤材料,2639,94082.96
燕麦片,2638,118538.93
羊肚菌,2636,75624.18
人参健脾丸,2625,9298.47
杞菊石斛地黄决明子片南京同仁堂,2615,83.35
五指毛桃京东自营官方旗舰店,2588,237.01
橘红,2582,8147.57
小青龙颗粒,2579,732.96
茵陈京东自营官方旗舰店,2574,185.24
八仙果,2561,4646.15
四物合剂,2556,447.64
山茱萸京东自营旗舰店,2553,188.30
梨,2549,4937.36
龙胆草,2547,2057.63
麦片京东自营全麦燕麦片早餐,2544,669.96
锁阳淫羊藿肉苁蓉,2536,452.06
海底椰,2527,5517.03
桑叶,2523,35861.60
黑枣,2491,46146.17
药食同源,2480,92601.36
打虫药儿童,2476,4149.28
缩泉丸,2474,715.51
伏湿膏,2471,7141.32
白扁豆,2460,6878.40
肾气丸,2455,1463.33
铁棍山药,2454,25473.14
黄芪京东自营官方旗舰店,2445,514.03
乌苓苁蓉合剂,2444,1719.77
山药干,2443,2816.01
买药京东自营京东大药房,2436,1382.52
西瓜京东自营官方旗舰店,2435,131.59
黄瓜籽粉京东自营旗舰店,2434,574.83
二至丸,2430,1769.15
桑葚京东自营官方旗舰店,2428,248.12
铁棍山药粉,2427,7674.17
土茯苓,2422,4247.64
夏枯草中药材,2421,1819.03
苁蓉胶囊,2420,2751.37
蝎子,2420,20316.63
左归丸一疗程,2402,236.57
五味子,2401,7242.95
杏仁粉,2369,25991.74
香港无湿轻,2369,2880.85
白术中药材,2364,2660.96
鹿血酒,2356,1892.04
玉屏风散,2353,7271.17
健脾降脂颗粒京东自营,2348,70.24
白芷粉,2335,1547.68
化橘红,2325,5659.29
女贞子,2319,2070.49
桑椹干,2316,27073.72
猴头菇京东自营官方旗舰店,2316,336.62
黑豆即食,2306,4452.90
银杏叶片京东自营旗舰店,2305,133.90
乌梅干,2302,32171.58
川贝枇杷膏,2296,1176.18
早餐冲饮,2291,76530.21
茯苓中药材,2281,1392.15
炒麦芽,2277,2072.26
鹰嘴豆,2277,83033.82
糖尿病人专用食品京东自营旗舰店,2275,450.63
枳实消痞丸,2269,1903.95
四物汤京东自营官方旗舰店,2266,136.18
消渴丸300丸京东大药房,2255,135.42
丝瓜络,2251,8516.65
复方三维亚油酸胶丸,2250,121.08
二陈平胃散,2248,399.12
回奶药,2248,6040.75
青甘源祛湿丸一号,2245,64.27
祛湿丸,2240,2485.29
卡麦,2236,1630.89
杞蓉益精颗粒,2233,201.12
干姜,2224,8395.93
鸡血藤,2223,7054.78
止咳化痰清肺,2220,16712.63
天麻当归三七片,2217,127.25
山萸肉,2212,1139.30
沙棘汁,2201,19084.78
黑芝麻粉,2195,37062.91
椰奶益生菌麦片京东自营店,2191,145.63
胖东来大药房,2184,6383.81
天麻当归三七通络片,2179,262.26
黑芝麻糊京东自营官方旗舰店,2175,640.14
五红汤京东自营旗舰店,2165,102.91
桑椹干京东自营官方旗舰店,2163,411.06
八味肾气丸,2150,3809.85
金樱子,2149,3377.13
夏枯草京东自营旗舰店,2138,67.32
挂面京东自营旗舰店,2136,247.26
芝麻,2131,339426.40
人参肽饮口服液子凡药业,2119,964.91
五红汤下奶哺乳期产后,2107,2613.82
米糊,2098,29342.36
黑桑葚,2088,4788.67
白术京东自营旗舰店,2087,93.63
山药粉100%京东自营官方旗舰店,2086,166.72
刺梨原液,2079,5678.21
丁香,2069,8834.46
山楂丸,2066,9792.48
果汁100%果汁,2051,672.52
平胃散,2048,5425.48
回奶宝,2045,4734.23
杂粮,2045,538020.34
桔梗,2039,25214.29
杜仲丸,2038,578.15
糖,2038,399899.12
健康零食,2033,676886.44
八珍丸,2033,1443.97
柏子仁,2033,846.19
白芷粉京东自营官方旗舰店,2024,211.99
红花,2020,32455.64
燕麦,2018,176506.40
五白谷物即食麦片京东自营降血糖,2015,81.52
六君子汤,2011,1962.84
黑芝麻熟,2010,11594.09
乌灵胶囊,2006,587.61
栀子,2005,15190.39
温胃降逆颗粒,2005,282.26
黑米,2001,194205.70
南杏仁,1994,4372.99
清心去火的食物有哪些,1990,558.74
补肺丸,1985,1526.13
苹果醋,1976,59158.33
枳术丸,1973,1961.00
黄连,1970,10129.21
淮山药,1965,4146.77
复方甘草片京东自营旗舰店,1963,36.67
肾精草,1962,1301.43
番泻叶,1960,5300.89
荷叶,1959,98172.00
龙胆泻肝汤,1959,3012.32
红皮花生,1956,22794.29
杞菊地黄决明子片,1955,377.19
黄连素,1953,749.56
熟黑芝麻,1949,11430.13
猴头菇,1948,85127.69
西洋参,1948,19680.05
车前草京东自营官方旗舰店,1948,108.67
饮料京东自营旗舰店,1946,1029.20
红枣片,1937,83526.48
健脾降脂颗粒官方正品,1934,138.04
板蓝根,1934,5133.57
黒五,1929,444.24
四磨汤口服液,1928,389.36
甘草橄榄,1925,7143.67
辛夷鼻炎丸,1925,389.36
生精固肾丸国药准字,1924,156.52
打虫药成年人,1905,613.37
七白饮京东自营旗舰店,1901,167.96
蓝莓京东自营官方旗舰店,1901,467.16
八正散,1895,2309.10
刺五加,1892,2730.65
四磨汤,1887,374.80
秦艽的功效与作用,1885,192.39
肝苏片,1885,1255.45
淮山,1879,5625.36
月子餐,1872,23908.13
竹盐枇杷干京东自营旗舰店,1872,409.67
肚子大湿气重屁多,1872,4800.62
黄金玛卡,1865,2495.89
草果,1860,3211.41
舌下片,1851,180.71
七星茶,1844,1279.02
花椒,1844,305436.22
半夏泻心汤,1842,8347.54
麻仁丸,1839,2074.82
杜仲腰痛丸,1838,854.37
杞菊地黄丸,1831,1174.38
枇杷干京东自营官方旗舰店,1828,443.45
力补金秋胶囊正品,1825,306.07
大补阴丸,1824,1802.78
棒棒糖,1818,198569.21
马蹄,1815,58921.50
零食京东自营官方旗舰店,1812,8394.92
养脾散,1811,2309.81
甘露消毒丹,1811,3622.56
金桔京东自营旗舰店,1811,292.18
西梅汁减肥大餐救星排便秘,1801,21958.82
藿香清口汤,1800,427.35
南瓜,1796,60686.38
交感丸,1795,345.65
去湿气,1790,71604.43
合欢花,1790,2024.14
京东大药房官方旗舰店正品药,1781,9255.98
黑枸杞,1776,76017.07
红曲粉,1775,19284.96
梨膏糖京东自营官方旗舰店,1774,156.52
藕粉京东自营旗舰店,1773,499.54
天麻片,1754,2263.37
新疆特产京东自营旗舰店,1753,1522.92
桂圆琼玉颗粒,1752,416.04
七宝美髯口服液,1750,291.25
茯苓粉,1747,4327.90
苍术,1746,1765.28
葛根粉京东自营旗舰店,1741,305.72
桃胶,1739,21056.38
面 挂面,1738,47312.59
龟鹿二胶丸,1737,485.63
沙棘,1736,32327.26
刺梨汁,1735,4625.18
五谷杂粮,1733,284321.34
墨旱莲,1731,1625.13
颈复康颗粒,1731,372.86
桂圆肉,1730,59472.81
韭菜籽枸杞茶,1728,844.78
桂枝,1724,3640.18
灯芯草,1723,2401.31
女贞子桑葚,1721,124.41
独脚金,1720,585.64
白芍中药材,1718,1028.20
特产,1717,7010971.93
五红汤补气血,1716,541.57
休闲零食,1716,3567014.26
天麻当归杜仲叶平卧菊三七片,1711,276.71
银耳京东自营旗舰店,1710,545.46
久食典茯湿膏,1705,633.74
树莓,1698,14457.31
太子参,1696,4296.33
宝塔糖京东自营店旗舰店,1695,101.42
柴胡桂枝干姜汤,1691,897.79
龙须面,1691,23874.48
柴胡,1690,3441.95
补天大造丸,1689,7147.74
金蝉止痒颗粒,1681,673.14
黑芝麻丸京东自营官方旗舰店,1681,543.63
丹栀逍遥散,1678,1204.40
黄柏中药材,1675,1532.39
当归黑豆,1671,1363.63
香砂六君子汤,1668,401.67
小麦,1665,118873.67
丝瓜,1664,10192.61
枣,1664,172439.92
薏仁,1664,18063.27
龟鹿二仙膏,1664,4205.08
泻肝安神丸,1663,676.51
薏米京东自营官方旗舰店,1658,447.77
礼盒,1652,9333102.42
无湿轻京东自营旗舰店,1647,306.25
二精丸,1643,695.87
桂枝颗粒,1641,725.64
真武汤,1638,2143.89
清热祛湿颗粒,1631,886.64
山楂茯苓颗粒去湿气中成药减肥,1627,312.56
七星茶儿童,1625,622.64
藿香清胃丸,1624,669.66
党参京东自营官方旗舰店,1616,489.56
孜然粒,1612,3085.44
祛湿颗粒,1612,2129.90
芡实糕,1611,11435.86
医药店药品京东大药房,1610,7812.69
明目地黄丸,1607,1862.24
沉香化气丸,1597,1211.80
小柴胡颗粒,1590,1025.66
甘草中药材,1588,2402.54
雪梨,1584,17200.94
营养早餐,1583,355886.59
化州橘红,1580,13826.25
白桦树汁100%京东自营,1577,475.58
车前子壳粉,1577,2260.44
防风,1577,408521.27
荆防颗粒,1576,518.05
五子衍宗丸,1553,1788.27
益智仁京东自营旗舰店,1553,126.85
巴戟天京东自营官方旗舰店,1546,172.51
秋梨膏,1544,42995.63
桃酥,1541,69881.11
九蒸九晒黄精,1538,844.02
宝塔糖驱虫,1537,705.52
姜片,1534,52020.99
中药材,1533,116141.97
酸枣仁膏,1533,9980.34
护肝片,1531,15771.19
麦冬中药材,1528,3966.99
墨旱莲京东自营官方旗舰店,1523,136.18
锁阳中药材,1519,2269.22
保和丸,1515,975.71
桂圆肉干,1515,8111.85
合欢皮,1513,885.33
牛大力野生,1513,942.88
石榴汁,1513,5954.98
生姜,1507,94036.64
黄芪、黄芪京东自营、黄芪片、党参、黄芪片京东自营、党参京东自营、当归、黄芪片泡水,1507,0.00
怀山药,1506,5177.90
当归中药材,1499,2845.54
金樱子京东自营旗舰店,1499,86.91
八角,1498,203200.53
杜仲中药材,1498,1066.56
天麻京东自营官方旗舰店,1492,374.35
砂仁,1483,2859.36
无糖食品,1481,395971.81
白术薏仁胶囊减肥,1481,603.81
杜仲补天素丸,1480,442.80
升白细胞最快的食物,1479,1188.98
减脂,1478,383891.84
还少丹太极药业集团,1477,173.70
蜜饯果干,1474,256041.33
迈之灵片的功效与作用,1470,95.24
沙苑子菟丝子,1469,1349.04
伏芩京东自营旗舰店,1468,25.68
平胃丸,1463,686.57
黄柏,1462,3684.83
丹参中药材,1460,2747.40
淫羊藿中药材,1453,4348.70
舒肝益脾颗粒源合盛,1451,115.04
天麻野生,1443,2121.49
龙眼,1443,19054.42
熟地,1437,1702.22
陈皮,1433,118135.81
黄连清胃丸,1431,842.70
人参归脾丸,1425,7758.78
知柏地黄丸,1424,1563.08
红花逍遥丸,1424,1014.20
小儿七星茶,1423,973.06
虎乳菌,1421,1872.29
黑蒜,1419,21928.12
李时珍葛根灵芝护肝片京东自营,1418,496.63
天麻钩藤饮,1415,1050.71
沙棘油,1414,6374.70
养生酒,1413,13102.97
西梅便秘清肠排毒通便,1411,5806.21
小茴香,1408,3529.23
桃金娘,1397,1241.20
舒肝解郁丸,1396,487.85
粥,1391,126859.10
饼干京东自营官方旗舰店,1389,1984.97
猴头菇养胃粉,1388,3705.91
淮山药京东自营官方旗舰店,1383,161.06
羊肚菌京东自营官方旗舰店,1381,629.63
核桃,1376,359167.34
下火食物排行榜10强,1373,238.34
姜黄粉京东自营旗舰店,1371,160.10
乌梅京东自营官方旗舰店,1368,218.31
京东自营大药房,1368,1489.14
川芎中药材,1367,1101.92
复方甘草片100片,1365,618.60
大通草,1365,2958.33
梗米,1365,3544.78
苹果醋官方京东自营旗舰店,1360,336.94
空胶囊壳食用,1359,261.85
五苓散京东自营旗舰店,1356,0.00
辛夷花,1355,992.34
干货,1351,581165.03
银耳羹,1351,73810.60
复方甘草片处方药,1349,1274.59
越鞠保和丸,1349,965.09
泡酒药材男性滋补京东自营,1346,819.70
月子粥,1343,6650.15
荆肤止痒颗粒,1342,224.71
四逆汤,1337,1887.91
代餐,1334,876655.32
大山楂丸,1330,2529.46
朱砂,1323,455906.37
三七片,1322,3662.00
复方首乌地黄丸修正,1320,105.83
复方酸枣仁膏北京西苑,1318,899.09
生地,1317,3454.44
下奶催乳追奶下奶汤,1314,810.66
决明子,1313,72411.59
石榴,1303,24497.15
火麻仁,1302,2980.08
四物颗粒,1301,396.98
空胶囊,1300,1106.26
潜阳封髓丹,1298,544.43
扁豆,1297,7097.53
山药面条,1294,9771.57
月季花,1294,37529.47
巴戟天中药材,1293,1142.09
白芝麻,1293,29128.23
雪梨干,1292,4660.58
潜阳丹,1291,361.62
红曲米京东自营京旗舰店官方,1289,199.56
苦参,1289,5599.29
饴糖,1289,3889.95
小建中汤,1288,2372.08
逍遥散,1287,6245.02
八味地黄丸,1286,2310.01
橘子,1283,30790.28
黄栀子,1279,1231.54
肉桂,1275,29682.22
减肥茶,1274,37383.86
酸梅汤,1273,40992.22
迈之灵有什么功效,1269,45.13
白茅根,1265,1724.57
茵陈茶,1263,1485.48
玉米糊,1262,49746.50
沙棘籽油,1259,1966.91
生精固肾丸,1259,530.36
五仙膏江苏七零七天然制药厂庄太医,1258,359.15
糖果,1257,711195.85
导赤散,1254,740.54
鸡血藤京东自营官方旗舰店,1254,144.22
清清宝,1253,2726.47
半夏厚补汤,1252,2825.56
汤料包,1250,40920.89
茯菟丸,1250,844.21
浮小麦,1249,1629.03
滋补肝肾丸,1247,1899.34
养生茶,1245,164825.77
苓桂术甘汤,1245,1753.85
养胃,1243,102535.26
茶,1243,336436.26
燕麦麸皮京东自营旗舰店0脂肪0蔗糖,1241,178.69
养胃护胃修复胃黏膜,1239,4760.55
快乐减重活动,1238,1582.85
正宗酸枣仁粉,1238,747.50
柴胡疏肝丸,1237,1572.40
焦三仙,1237,769.33
蔬菜,1231,738595.99
五味子京东自营官方旗舰店,1229,286.23
小柴胡,1226,1525.86
泽泻,1225,2577.57
健脑补肾丸,1223,438.97
鹰嘴豆京东自营旗舰店,1219,384.70
石斛砂仁麦冬片正品,1216,450.63
葛根汤颗粒,1216,1266.10
女贞子京东自营官方旗舰店,1214,165.48
鸡内金儿童,1214,6276.15
贝母,1213,8123.75
元气四宝茶,1211,17432.03
正宗八珍糕,1210,450.50
黑桑葚干,1209,3313.45
柴胡四妙散,1206,282.26
白芍京东自营官方旗舰店,1206,100.92
脾肾双补丸,1203,457.73
五黑,1202,5539.98
人参肽饮,1201,1270.26
番石榴,1201,8739.11
药品,1201,126708.06
甜杏仁,1200,2927.08
豆奶粉,1200,25868.08
胶囊,1198,167894.49
花生衣,1198,2944.34
消瘰丸,1197,4016.62
桑螵蛸,1194,2482.80
龟芪参鹿汤,1194,217.11
桂圆干京东自营旗舰店,1192,670.17
参附强心丸,1191,366.36
玛卡,1183,45252.68
麦芽,1183,12780.14
红皮花生衣,1182,962.34
怀山药干,1181,446.34
京东买药京东自营药房,1180,1288.41
香港大药房,1179,10844.65
胶囊壳,1173,24270.90
念慈庵蜜炼川贝枇杷膏,1171,769.14
脾胃舒丸,1169,533.61
舒筋通络颗粒,1168,560.54
冰糖,1166,293908.74
心脉通片,1166,171.00
泡水喝的,1166,43801.25
川贝母粉,1164,1996.25
柴胡疏肝汤,1163,442.14
虫草花,1163,23871.88
生黄精,1160,437.91
黑金刚,1160,44199.83
干姜片,1159,5150.93
芝麻糊京东自营官方旗舰店,1158,427.76
健脾丸,1156,3807.07
玉灵膏,1147,15288.32
脉通复方三维亚油酸胶丸1,1147,225.87
黑5,1147,3345.46
去湿气排毒排体内湿寒大肚子,1146,4254.34
通草下奶,1145,932.11
减脂食品,1144,444986.94
干果,1141,404657.47
黄芪麦冬膏,1139,560.20
路路通,1137,12515.44
老人零食,1133,56451.50
鱼腥草,1133,28972.74
炙甘草汤,1130,1347.50
肉苁蓉淫羊藿,1127,1249.86
桑黄,1126,2192.49
香囊,1125,192158.69
生地黄,1124,1267.46
山楂京东自营旗舰店,1113,349.15
肉苁蓉原浆,1113,1308.66
柴胡中药材,1110,1240.93
芹菜汁,1109,1387.60
减肥零食,1107,292191.59
医保买药入口,1107,4746.13
空心胶囊,1107,2277.60
果干,1106,290257.46
茵陈养肝茶,1106,397.84
山茱萸中药材正品官方旗舰店,1104,143.15
舒筋丸,1104,621.68
四逆散中成药,1100,312.21
羽衣甘蓝,1097,6710.76
金线莲,1094,4962.53
五谷杂粮京东自营旗舰店,1091,385.87
青娥丸,1086,830.42
金桔干,1085,34600.10
四妙散,1084,962.44
流食,1084,11068.43
五白谷物即食麦片京东自营店,1082,343.09
明矾,1082,5973.43
面条挂面,1080,33937.61
藏红花,1076,20297.39
乌梅中药,1073,3518.41
黄连上清丸,1066,1311.37
龙骨,1064,51661.25
姜黄,1062,11249.52
蜈蚣,1062,12509.49
野生黄精,1059,697.78
人参果京东自营官方旗舰店,1056,161.70
当归苦参丸,1055,1721.93
安神补心丸,1054,1150.75
柿子叶茶,1053,1358.10
远志,1049,3079.06
清胃丸,1048,716.20
白扁豆京东自营旗舰店,1048,105.83
丹栀逍遥丸男士,1040,367.73
礼盒送长辈见家长,1039,9513.36
熟芝麻,1036,10211.36
早餐京东自营旗舰店,1035,818.09
熟地黄京东自营旗舰店,1034,108.21
洋车前子壳粉,1022,2321.59
回春草,1010,2254.70
薯蓣丸,1010,2663.08
三仁汤,1004,1385.51
菊花晶,1001,6285.35
正宗酸枣仁,999,1784.39
养阴清肺颗粒,997,308.01
桑叶新鲜,993,5097.70
健脑丸,992,569.72
龙眼干,990,22169.68
同仁堂牛黄清心丸,989,426.54
番泻叶颗粒,988,899.56
点舌丸,986,535.46
玛咖,983,15226.60
糖尿病人专用食品,974,265378.82
合欢,973,999.36
甘草十大品牌,973,343.41
兔丝孑,969,789.99
痛风特效药,967,24304.78
四宝茶,962,3280.07
春砂仁,961,2991.37
茯苓薏米山药龙须面,960,2719.83
铁棍山药正宗淮山河南焦作,960,1022.57
黄金草,960,1949.77
黄精即食,957,547.17
山药铁棍,950,3783.34
皂角,950,3288.09
蜜饯,942,193545.08
胖东来中药,941,1103.37
西芹,941,2804.21
三乌胶丸,937,184.68
木瓜丸,936,985.03
沙参,936,2542.43
金樱子野生,935,991.70
麻子仁丸,934,1464.80
米粉,931,239047.15
临期,926,43160.73
石斛原浆,924,1959.84
丹参京东自营官方旗舰店,922,328.71
